y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.3771876783,18.1201096561,0.0476769809,2.5474027763,6.2666127024,0.0666666667,0.0085607636,0.5861809935,0.0529744233,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3932836622,18.2705159163,0.0489305658,2.4479455745,5.8187235440,0.0666666667,0.0085309562,0.5811168858,0.0543672953,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4098711039,18.4171891031,0.0500979740,2.3486165907,5.3948792858,0.0666666667,0.0085002387,0.5760139670,0.0556644155,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4269509569,18.5600906356,0.0511723799,2.2496216854,4.9940150093,0.0666666667,0.0084686093,0.5708653578,0.0568581999,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4445229527,18.6991585553,0.0521479064,2.1511714787,4.6151407581,0.0666666667,0.0084360686,0.5656641498,0.0579421182,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4625855294,18.8343057173,0.0530199154,2.0534862688,4.2573465700,0.0666666667,0.0084026194,0.5604034381,0.0589110171,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.4811357642,18.9654176225,0.0537853454,1.9568013667,3.9198076129,0.0666666667,0.0083682671,0.5550763768,0.0597614949,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5001693105,19.0923498927,0.0544430984,1.8613728958,3.6017895168,0.0666666667,0.0083330198,0.5496762652,0.0604923316,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5196803412,19.2149254184,0.0549944805,1.7674840749,3.3026538915,0.0666666667,0.0082968883,0.5441966753,0.0611049783,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5396614981,19.3329312636,0.0554436955,1.6754519303,3.0218638752,0.0666666667,0.0082598861,0.5386316301,0.0616041061,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5601038497,19.4461154962,0.0557983830,1.5856342719,2.7589893577,0.0666666667,0.0082220299,0.5329758481,0.0619982034,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.5809968569,19.5541842400,0.0560701812,1.4984365928,2.5137112400,0.0666666667,0.0081833392,0.5272250648,0.0623002013,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6023283492,19.6567994310,0.0562752718,1.4143182879,2.2858237240,0.0666666667,0.0081438364,0.5213764454,0.0625280797,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6240845103,19.7535780058,0.0564348342,1.3337972379,2.0752331847,0.0666666667,0.0081035472,0.5154290908,0.0627053713,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6462498761,19.8440935407,0.0565752896,1.2574513684,1.8819517253,0.0666666667,0.0080625002,0.5093846287,0.0628614329,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6688073438,19.9278816411,0.0567281634,1.1859153509,1.7060832047,0.0666666667,0.0080207271,0.5032478537,0.0630312927,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.6917381935,20.0044505237,0.0569293442,1.1198703248,1.5477996247,0.0666666667,0.0079782626,0.4970273444,0.0632548269,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7150221237,20.0732980297,0.0572175067,1.0600246533,1.4073066408,0.0666666667,0.0079351442,0.4907359401,0.0635750074,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7386372983,20.1339355097,0.0576315439,1.0070846549,1.2847989682,0.0666666667,0.0078914124,0.4843909213,0.0640350488,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7625604087,20.1859174467,0.0582070813,0.9617162141,1.1804096136,0.0666666667,0.0078471104,0.4780137278,0.0646745348,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.7867667475,20.2288735367,0.0589725400,0.9245010230,1.0941604717,0.0666666667,0.0078022838,0.4716291071,0.0655250445,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8112302966,20.2625379513,0.0599456707,0.8958940473,1.0259242323,0.0666666667,0.0077569809,0.4652637181,0.0666063008,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8359238264,20.2867698891,0.0611317266,0.8761901265,0.9754067334,0.0666666667,0.0077112522,0.4589444004,0.0679241406,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8608190076,20.3015612116,0.0625241495,0.8655061135,0.9421539375,0.0666666667,0.0076651500,0.4526964669,0.0694712772,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.8858865338,20.3070306540,0.0641077293,0.8637807832,0.9255801780,0.0666666667,0.0076187286,0.4465423928,0.0712308104,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9110962541,20.3034080201,0.0658630716,0.8707898486,0.9250079965,0.0666666667,0.0075720440,0.4405011242,0.0731811907,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9364173138,20.2910137758,0.0677706231,0.8861703948,0.9397081908,0.0666666667,0.0075251531,0.4345879897,0.0753006923,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9618183033,20.2702387671,0.0698128956,0.9094490113,0.9689320416,0.0666666667,0.0074781143,0.4288150098,0.0775698840,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9872674122,20.2415264415,0.0719746073,0.9400699416,1.0119333672,0.0666666667,0.0074309863,0.4231913467,0.0799717859,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0127325878,20.2052583442,0.0737604636,0.9775189978,1.0681254921,0.0666666667,0.0073838285,0.4177065983,0.0819560707,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0381816967,20.1616371128,0.0751348490,1.0214336415,1.1372674610,0.0666666667,0.0073367006,0.4123341869,0.0834831655,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0635826862,20.1109084376,0.0765583771,1.0713851478,1.2191198731,0.0666666667,0.0072896617,0.4070647383,0.0850648634,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0889037459,20.0534603331,0.0780075347,1.1267976724,1.3132590450,0.0666666667,0.0072427708,0.4019035778,0.0866750385,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1141134662,19.9896884601,0.0794570649,1.1870954258,1.4192878930,0.0666666667,0.0071960862,0.3968540615,0.0882856276,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1391809924,19.9199853659,0.0808808558,1.2517190455,1.5368491438,0.0666666667,0.0071496648,0.3919177253,0.0898676175,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1640761736,19.8447317760,0.0822529765,1.3201380175,1.6656367397,0.0666666667,0.0071035626,0.3870944940,0.0913921961,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1887697034,19.7642901665,0.0835486337,1.3918590719,1.8054046747,0.0666666667,0.0070578339,0.3823829259,0.0928318153,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2132332525,19.6790005195,0.0847449288,1.4664309436,1.9559730161,0.0666666667,0.0070125310,0.3777804717,0.0941610320,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2374395913,19.5891779543,0.0858213807,1.5434461559,2.1172312958,0.0666666667,0.0069677045,0.3732837231,0.0953570897,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2613627017,19.4951118267,0.0867602338,1.6225405691,2.2891397123,0.0666666667,0.0069234024,0.3688886384,0.0964002598,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2849778763,19.3970658908,0.0875465912,1.7033913867,2.4717286849,0.0666666667,0.0068796706,0.3645907354,0.0972739903,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3082618065,19.2952791646,0.0881684180,1.7857141992,2.6650972878,0.0666666667,0.0068365522,0.3603852504,0.0979649088,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3311926562,19.1899672172,0.0886164561,1.8692595088,2.8694110133,0.0666666667,0.0067940877,0.3562672648,0.0984627290,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3537501239,19.0813236664,0.0888840821,1.9538090541,3.0848992207,0.0666666667,0.0067523146,0.3522318018,0.0987600913,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3759154897,18.9695217405,0.0889671308,2.0391721453,3.3118525271,0.0666666667,0.0067112676,0.3482738985,0.0988523676,0.0010000000,0.1000000000,1.0000000000,0.0000000000
